Package	Version
admisc	0.41
backports	1.5.1
broom	1.0.13
cellranger	1.1.0
childsds	0.9.11
clipr	0.8.1
colorspace	2.1-3
data.table	1.18.6.1
deldir	2.0-4
DescTools	0.99.60
dplyr	1.2.1
dsBase	6.3.5
dsFlower	0.5.0
dsFlowerClient	0.5.0
e1071	1.7-17
Exact	3.3
expm	1.0-1
farver	2.1.2
forcats	1.0.1
foreach	1.5.2
fs	2.1.0
gamlss	5.5-0
gamlss.data	6.0-7
gamlss.dist	6.1-11
generics	0.1.4
ggplot2	4.0.3
gld	2.6.8
glmnet	5.0
gtable	0.3.6
haven	2.5.5
interp	1.1-6
isoband	0.3.0
iterators	1.0.14
jomo	2.7-6
labeling	0.4.3
lme4	2.0-6
lmom	3.3
lubridate	1.9.5
Matrix	1.7-6
mice	3.19.0
minqa	1.2.8
mitml	0.4-5
mvtnorm	1.4-2
nloptr	2.2.1
numDeriv	2016.8-1.1
ordinal	2026.7-26
pan	2.0
pillar	1.11.1
plyr	1.8.9
polycor	0.8-2
proxy	0.4-29
purrrlyr	0.0.10
RANN	2.6.3
rbibutils	2.4.1
RColorBrewer	1.1-3
Rcpp	1.1.2
RcppEigen	0.3.4.0.2
Rdpack	2.6.6
readr	2.2.0
readxl	1.5.0.1
reformulas	0.4.4
rematch	2.0.0
reshape2	1.4.5
rootSolve	1.8.2.4
rstudioapi	0.19.0
S7	0.2.2
scales	1.4.0
shape	1.4.6.1
stringi	1.8.9
stringr	1.6.0
tibble	3.3.1
tidyr	1.3.2
timechange	0.4.0
tzdb	0.5.0
ucminf	1.2.3
utf8	1.2.6
VGAM	1.1-14
viridisLite	0.4.3
vroom	1.7.1
arrow	25.0.1
askpass	1.2.1
assertthat	0.2.1
bit	4.6.0
bit64	4.8.6
cli	3.6.6
cpp11	0.5.5
crayon	1.5.3
curl	8.0.0
digest	0.6.39
DSI	1.8.0
DSLite	1.4.1
filelock	1.0.3
glue	1.8.1
hms	1.1.4
httr	1.4.9
jsonlite	2.0.0
lifecycle	1.0.5
magrittr	2.0.5
mime	0.13
openssl	2.4.2
pkgconfig	2.0.3
prettyunits	1.2.0
processx	3.9.0
progress	1.2.3
ps	1.9.3
purrr	1.2.2
R6	2.6.1
remotes	2.5.0
resourcer	1.5.1
rlang	1.3.0
rly	1.7.8
sys	3.4.3
tidyselect	1.2.1
vctrs	0.7.3
withr	3.0.3
base	4.6.1
boot	1.3-28
class	7.3-20
cluster	2.1.2
codetools	0.2-18
compiler	4.6.1
datasets	4.6.1
foreign	0.8-82
graphics	4.6.1
grDevices	4.6.1
grid	4.6.1
KernSmooth	2.23-20
lattice	0.20-45
MASS	7.3-55
Matrix	1.4-0
methods	4.6.1
mgcv	1.8-39
nlme	3.1-155
nnet	7.3-17
parallel	4.6.1
rpart	4.1.16
spatial	7.3-15
splines	4.6.1
stats	4.6.1
stats4	4.6.1
survival	3.2-13
tcltk	4.6.1
tools	4.6.1
utils	4.6.1
