adduser	3.118ubuntu5
apt	2.4.13
base-files	12ubuntu4.7
base-passwd	3.5.52build1
bash	5.1-6ubuntu1.1
binutils	2.38-4ubuntu2.6
binutils-common:amd64	2.38-4ubuntu2.6
binutils-x86-64-linux-gnu	2.38-4ubuntu2.6
bsdutils	1:2.37.2-4ubuntu3.4
build-essential	12.9ubuntu3
bzip2	1.0.8-5ubuntu0.1
ca-certificates	20230311ubuntu0.22.04.1
cmake	3.22.1-1ubuntu1.22.04.2
cmake-data	3.22.1-1ubuntu1.22.04.2
coreutils	8.32-4.1ubuntu1.2
cpp	4:11.2.0-1ubuntu1
cpp-11	11.4.0-1ubuntu1~22.04.3
cuda-cccl-12-4	12.4.127-1
cuda-command-line-tools-12-4	12.4.1-1
cuda-compat-12-4	550.90.12-0ubuntu1
cuda-compiler-12-4	12.4.1-1
cuda-crt-12-4	12.4.131-1
cuda-cudart-12-4	12.4.127-1
cuda-cudart-dev-12-4	12.4.127-1
cuda-cuobjdump-12-4	12.4.127-1
cuda-cupti-12-4	12.4.127-1
cuda-cupti-dev-12-4	12.4.127-1
cuda-cuxxfilt-12-4	12.4.127-1
cuda-driver-dev-12-4	12.4.127-1
cuda-gdb-12-4	12.4.127-1
cuda-keyring	1.1-1
cuda-libraries-12-4	12.4.1-1
cuda-libraries-dev-12-4	12.4.1-1
cuda-minimal-build-12-4	12.4.1-1
cuda-nsight-compute-12-4	12.4.1-1
cuda-nvcc-12-4	12.4.131-1
cuda-nvdisasm-12-4	12.4.127-1
cuda-nvml-dev-12-4	12.4.127-1
cuda-nvprof-12-4	12.4.127-1
cuda-nvprune-12-4	12.4.127-1
cuda-nvrtc-12-4	12.4.127-1
cuda-nvrtc-dev-12-4	12.4.127-1
cuda-nvtx-12-4	12.4.127-1
cuda-nvvm-12-4	12.4.131-1
cuda-opencl-12-4	12.4.127-1
cuda-opencl-dev-12-4	12.4.127-1
cuda-profiler-api-12-4	12.4.127-1
cuda-sanitizer-12-4	12.4.127-1
cuda-toolkit-12-4-config-common	12.4.127-1
cuda-toolkit-12-config-common	12.6.68-1
cuda-toolkit-config-common	12.6.68-1
curl	7.81.0-1ubuntu1.27
dash	0.5.11+git20210903+057cd650a4ed-3build1
dbus	1.12.20-2ubuntu4.1
debconf	1.5.79ubuntu1
debianutils	5.5-1ubuntu2
dh-elpa-helper	2.0.9ubuntu1
diffutils	1:3.8-0ubuntu2
dirmngr	2.2.27-3ubuntu2.1
distro-info-data	0.52ubuntu0.7
dpkg	1.21.1ubuntu2.3
dpkg-dev	1.21.1ubuntu2.3
e2fsprogs	1.46.5-2ubuntu1.2
emacsen-common	3.0.4
findutils	4.8.0-1ubuntu3
fontconfig	2.13.1-4.2ubuntu5
fontconfig-config	2.13.1-4.2ubuntu5
fonts-dejavu-core	2.37-2build1
g++	4:11.2.0-1ubuntu1
g++-11	11.4.0-1ubuntu1~22.04.3
gcc	4:11.2.0-1ubuntu1
gcc-11	11.4.0-1ubuntu1~22.04.3
gcc-11-base:amd64	11.4.0-1ubuntu1~22.04.3
gcc-12-base:amd64	12.3.0-1ubuntu1~22.04.3
gfortran	4:11.2.0-1ubuntu1
gfortran-11	11.4.0-1ubuntu1~22.04.3
gir1.2-glib-2.0:amd64	1.72.0-1
gir1.2-harfbuzz-0.0:amd64	2.7.4-1ubuntu3.2
